auto_id,image_id,session_id,filepath,i_date,i_gpsIndicator,i_latitude,i_longitude,temperature,colour,accel_x,accel_y,accel_z,magnet_x,magnet_y,magnet_z,pir,eImgsizes,eImgTypes,eAlt,eSpeed,eHorzErr,eVertErr,eExposure,eGain,eRBal,eGBal,eBBal,eXOr,eYOr,eZOr,eLinkID,eRed,eGreen,eBlue,eLum,eCamID,eExifOr,eBlur,eBlur2,eAvgLuminance
4358,b00000036_21i4tk_20150325_141257,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000036_21i4tk_20150325_141257e.jpg,2015-03-25T14:12:58,2,37.50927,-121.89964,21.9,0,0.019,-0.611,-0.093,-0.042,0.607,-0.16,1,4014,2,197.5,1,21.02,1.96,1,1.25,1.469,1,1.406,106.03,-90.23,359.15,A3B3B86C-89C5-4867-8E67-4F490EF7BEC8,65535,65535,51295,65535,123458024,<null>,0,0,0
4359,b00000037_21i4tk_20150325_141321,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000037_21i4tk_20150325_141321e.jpg,2015-03-25T14:13:22,2,37.50947,-121.89981,21.9,0,-0.255,-1.145,-0.189,0.058,0.591,-0.173,1,4014,2,201.6,0.9,26.87,2.05,1,1.25,1.5,1,1.313,104.66,-87.98,352.13,EDEF1E70-7D32-41C0-ACC8-F23EB93A98D7,65535,65535,60290,65535,123458024,<null>,0,0,0
4357,b00000038_21i4tk_20150325_141345,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000038_21i4tk_20150325_141345e.jpg,2015-03-25T14:13:45,2,37.50962,-121.89981,21.9,0,0.139,-0.898,-0.122,-0.167,0.604,-0.142,1,4014,2,205.1,1.1,26,2.1,1,1.31,1.5,1,1.344,105.03,-90.44,334.81,E743F4E0-A0CC-4208-B666-4F1ED6D1882E,65535,65535,60988,65535,123458024,<null>,0,0,0
4356,b00000039_21i4tk_20150325_141408,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000039_21i4tk_20150325_141408e.jpg,2015-03-25T14:14:09,2,37.50984,-121.89971,21.9,0,-0.127,-1.007,-0.314,-0.184,0.59,-0.122,1,4014,2,208.9,1.5,24.79,2.08,1,1.31,1.5,1,1.375,107.48,-89.63,323.33,9F97A9D7-5F77-4B9A-A757-3AAECC932105,65535,65535,50036,65535,123458024,<null>,0,0,0
4362,b00000040_21i4tk_20150325_141432,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000040_21i4tk_20150325_141432e.jpg,2015-03-25T14:14:32,2,37.51005,-121.89958,21.9,0,-0.132,-1.42,-0.505,-0.257,0.64,-0.235,1,4014,2,214.4,1.7,12.61,2.07,1,1.25,1.5,1,1.344,101.55,-91.01,328.22,14104A78-9346-41F7-A725-B2069AEA5FDD,65535,65535,44966,65535,123458024,<null>,0,0,0
4363,b00000041_21i4tk_20150325_141455,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000041_21i4tk_20150325_141455e.jpg,2015-03-25T14:14:56,2,37.51023,-121.89941,21.9,0,-0.067,-0.604,-0.083,-0.134,0.636,-0.192,1,4014,2,215.2,1,21.04,2.09,1,1.25,1.5,1,1.375,101.3,-89.94,321.57,FEC95AD0-3983-4924-925B-3DA989B6756B,65535,65535,45557,65535,123458024,<null>,0,0,0
4360,b00000042_21i4tk_20150325_141519,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000042_21i4tk_20150325_141519e.jpg,2015-03-25T14:15:20,2,37.51039,-121.89925,21.9,0,0.007,-0.641,-0.012,-0.2,0.599,-0.143,1,4014,2,220.9,1,21.72,2.04,1,1.25,1.5,1,1.375,104.83,-90.84,326.45,366FCE87-8043-4F69-90AB-CF56AC3C7174,65535,65535,42080,65535,123458024,<null>,0,0,0
4361,b00000043_21i4tk_20150325_141545,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000043_21i4tk_20150325_141545e.jpg,2015-03-25T14:15:46,2,37.51056,-121.89906,21.9,0,0.166,-1.379,-0.337,-0.29,0.597,-0.18,1,4014,2,228.1,0.9,28.61,2.02,1,1.25,1.5,1,1.438,104.64,-91.91,324.7,06924BEB-90FD-422C-A889-DD52BC77BE29,65535,65376,39565,65535,123458024,<null>,0,0,0
4366,b00000044_21i4tk_20150325_141609,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000044_21i4tk_20150325_141609e.jpg,2015-03-25T14:16:09,2,37.51069,-121.89884,21.4,0,0.236,-1.186,-0.399,-0.254,0.618,-0.197,1,4014,2,234.5,1.2,13.52,2,1,1.25,1.5,1,1.438,102.44,-89.69,324.58,C6FCEA1B-13E9-4B1D-B461-3019C8D77F7C,65535,65535,47932,65535,123458024,<null>,0,0,0
4367,b00000045_21i4tk_20150325_141632,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000045_21i4tk_20150325_141632e.jpg,2015-03-25T14:16:32,2,37.51079,-121.89864,21.4,0,-0.047,-0.604,-0.157,-0.312,0.609,-0.217,1,4014,2,240,0.4,41.79,2.19,1,1.31,1.5,1,1.469,102.25,-90.04,321.87,95109AC8-000E-4121-8F05-734C684A0CCF,65535,65535,47498,65535,123458024,<null>,0,0,0
4365,b00000046_21i4tk_20150325_141655,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000046_21i4tk_20150325_141655e.jpg,2015-03-25T14:16:55,2,37.51097,-121.89838,21.4,0,-0.128,-1.451,-0.222,-0.222,0.607,-0.162,1,4014,2,244.7,1.5,33.56,2.31,1,1.25,1.5,1,1.469,102.87,-90.77,318.37,6EA0857D-DB69-46AD-A61B-17811B6833C2,65535,65535,46658,65535,123458024,<null>,0,0,0
4364,b00000047_21i4tk_20150325_141718,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000047_21i4tk_20150325_141718e.jpg,2015-03-25T14:17:19,2,37.51106,-121.89819,21.4,0,0,-0.908,-0.016,-0.194,0.619,-0.175,1,4014,2,248.8,1.3,38.8,2.39,1,1.25,1.5,1,1.469,103.34,-92.02,318.82,5B920727-5B4E-43C0-B42C-61885B7C5F08,65535,65535,49353,65535,123458024,<null>,0,0,0
4370,b00000048_21i4tk_20150325_141742,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000048_21i4tk_20150325_141742e.jpg,2015-03-25T14:17:42,2,37.51129,-121.89801,21.4,0,0.159,-1.214,-0.464,-0.194,0.61,-0.153,1,4014,2,254.5,0.8,27.96,2.42,1,1.25,1.5,1,1.438,103.3,-92.66,330.83,632EAB79-EB2F-42C9-BA2D-4FB98768BD54,65535,65535,46636,65535,123458024,<null>,0,0,0
4371,b00000049_21i4tk_20150325_141806,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000049_21i4tk_20150325_141806e.jpg,2015-03-25T14:18:07,2,37.51148,-121.8979,18.7,0,0.033,-0.743,-0.012,-0.19,0.649,-0.218,1,4014,2,260.3,1,34.39,2.45,1,1.25,1.5,1,1.375,98.951,-88.48,336.43,EDACE7A2-9319-4923-A632-0680A46A06DD,65535,65429,43714,65535,123458024,<null>,0,0,0
